question,reply
في اثناء السعي بين الصفا والمروة في الجزء الواقع بينهما قام بعض الناس بدفعي فاستدرت بكامل جسمي فما الحكم؟,لا يضر ذلك بالسعي.
هل يجوز في اثناء السعي بين الصفا الى المروة، وضع الطفل في عربة الاطفال ؟ وهل يكون السعي من الصفا الى المروة شوطاً واحداً والاياب من المروة الى الصفا شوطا ثانيا وهكذا الى ان تكتمل سبعة اشواط؟,يجوز ذلك ويعد الذهاب شوطا والاياب شوطا آخر.
سماحتكم على علم بما جرى في مكة المكرمة من اغلاق المسعى القديم لغرض التعمير، وعدم السماح للمعتمرين الا بالسعي من الممر الجديد، فما هو حكمهم في ذلك؟,اذا ثبت للمعتمر ـ ولو من خلال فتوى بعض الفقهاء ـ توفر شهادة الثقة من اهل الخبرة بامتداد الجبلين (الصفا والمروة) الى الممرّ الجديد اجزأه السعي منه، وان لم يثبت له ذلك فعليه ان يذبح هدياً في مكة بعد السعي من ذلك الممرّ وقبل التقصيراوالحلق ليتأكد من تحلله من احرامه.
بالنسبة للمسعي الجديد هل يجزي السعي فيه مع العلم انه يمنع الدخول للسعي في المسعى القديم؟,يجب البدء من الصفا الاصلي فان مُنع الحاج من السعي في المسعى القديم جاز له استمرار السعي في الجديد وليقترب من القديم حيث يقال إن بعض المسعى الجديد من القديم.
تم تعريض المسعي الشريف وذلك بضم جزء من الساحة الخارجية للحرم الشريف إلي المسعي من جهة الساعي من الصفا إلي المروة، فما حكم السعي في هذه الإضافة الجديدة؟,إذا ثبت للناسك ـ ولو من خلال فتاوي بعض الفقهاء ـ توفر شهادة الثقة من أهل الخبرة من دون معارض بامتداد جبلي الصفا والمروة إلي الممر الجديد أجزأه السعي فيه، وإن لم يثبت له ذلك ولم يمكنه السعي من الممر الأصلي ذهاباً وإياباً ـ لتخصيصه للإياب فقط ـ جاز له البدء من المقدار الأصلي من الصفا ثم الاتجاه يميناً إلي الممر الجديد وإكمال شوطه بالوصول إلي المروة، ولا يضرّه عدم استقبالها عند التوجه إليها، وأمّا مع تمكنه من السعي في الممر الأصلي ذهاباً وإياباً فالأحوط لزوماً تعّينه وعدم الاجتزاء بالسعي علي النحو المتقدم.
ما هو حكم السعي في الطابق تحت الأرض المستحدث أخيراً؟,ما كان تحت الممر الأصلي يجوز السعي فيه، وأمّا ما كان تحت الممّر الجديد فيجري عليه حكمه المتقدم آنفاً.
إذا سعي المكلف بين الصفا والمروة على العربة التي يقودها غيره والمكلف لا يتحكم فيها تحريكاً وإيقافاً وإنما ذلك بيد قائد العربة وتم السعي على هذا النحو مع جهل المكلف بالحكم فما حكم سعيه في الأحوال التالية: ١ ـ حال الاختيار وعدم الحاجة إلي العربة؟ ٢ ـ حال المشقة بسبب مرض أو تعب وألم في الرجل؟ ٣ ـ حال الضرورة لمرض أو تعب وألم في الرجل؟,١ ـ لا بأس بالسعي على العربة في حال الاختيار إذا كان هو بنفسه يتصدّي لتحريكها أو كان متمكناً من إيقافها متي شاء لا أن يطلب ذلك من غيره. ٢ ـ ٣ ـ من لا يمكنه السعي بنفسه يجتزأ منه بأن يُسعى به ولو على العربة.
١ ـ ما هو التحديد الزمني للموالاة في الطواف والسعي وهل يخل مقدار ساعة زمانية بالموالاة؟ ٢ ـ هل تجب الموالاة في السعي علي نحو الفتوي أم الاحتياط؟ ٣ ـ لو وقعت الصلاة جماعة أثناء السعي فهل يخل بالموالاة؟ ٤ ـ لو وقعت الصلاة جماعة أثناء الطواف قبل نهاية الشوط الرابع؟ ٥ ـ كذك لكن لو وقعت الصلاة جماعة أثناء الطواف بعد نهاية الشوط الرابع، فهل يكون الحكم اتمام الطواف سواء خرج من دائرة المطاف الي الأروقة؟ ٦ ـ هل استحباب التعطر والتطيب للمرأة في الصلاة وارد كما هو للرجل؟ ٧ ـ هل تجب الموالاة في السعي علي رأي السيد الخوئي علي نحو الفتوي أم الاحتياط؟,١ ـ الساعة مخلة بالموالاة في مورد اعتبارها في الطواف وصلاته والسعي. ٢ ـ اعتبار الموالاة بين اشواط السعي بنحو الاحتياط اللزومي. ٣ ـ اذا اشترك في صلاة الجماعة ليدرك فضيلة الفريضة لم تختل وكذا إن لم يشترك مع قلة الفترة كثلاث دقائق مثلاً. ٤ و٥ ـ اذا اشترك فيها لم يخل فيبدأ بعد اتمام الصلاة من موضع القطع وكذلك الحال اذا لم يشترك ولكن صلي منفرداً لدرك وقت فضيلة الفريضة او أتى بالنافلة. واما لو لم يفعل ذلك يبطل طوافه مع طول المدة كما لو بلغ عشر دقائق مثلاً، بل يبطل مطلقاً اذا قطعه قبل اتمام الشوط الرابع في ما لو خرج من المطاف واشتغل بعمل اخر بحيث يصدق عرفاً انه قطع طوافه. ٦ ـ لم يخصص في النص بالرجل بل للمصلي. ٧ ـ إعتبارها بنحو الاحتياط اللزومي.
"السلام عليكم ورحمة الله وبركاته 
ماهي الروايات الواردة في ثواب الحج والعمرة؟","عليكم السلام ورحمة الله 
قد وردت روايات كثيرة في فضل الحج والعمرة منها:
مارواه بصير، عن أبي عبدالله الصادق (عليه السلام) قال: (الحاجّ والمعتمر في ضمان الله فإن مات متوجهاً غفر الله له ذنوبه، وإن مات محرماً بعثه الله ملبياً، وإن مات بأحد الحرمين بعثه الله من الآمنين، وإن مات منصرفاً غفر الله له جميع ذنوبه).
وعن أبي محمد الفرّاء قال: (سمعت جعفر بن محمد عليه السلام يقول: قال رسول الله صلى الله عليه وآله وسلم: تابعوا بين الحج والعمرة فإنهما ينفيان الفقر والذنوب كما ينفي الكير خبث الحديد).
وعن  أبي عبدالله الصادق عليه السلام: (حِجوا واعتمروا تصحُّ أجسامكم، وتتسع أرزاقكم، ويصلح إيمانكم، وتكفون مؤنة الناس ومؤنة عيالاتكم).
وعن أبي عبد الله (عليه السلام) قال: (الحاجّ والمعتمر وفد الله ، إن سألوه أعطاهم، وإن دعوه أجابهم، وإن شفعوا شفّعهم، وإن سكتوا ابتدأهم، ويعوّضون بالدرهم ألف درهم)."
هل يجوز ان اذهب للحج مع وجود صلوات قضاء في ذمتي؟ وسأقضي الصلوات فيما بعد,"السلام عليكم ورحمة الله وبركاته.
يجوز ذلك."
"السلام عليكم ورحمه الله وبركاته 
حصلت على حجه بدون ترخيص من قبل السلطات المحلية والسعودية. بدون ان اخذ مكان احد. فهل في هذا اشكال ام لا","عليكم السلام 
اذا كان هذا مخالفا للقانون الموضوع لترتيب شؤون الحجيج فلايجوز."
"بسم الله الرحمن الرحيم 
 الحمد لله رب العالمين والصلاة والسلام على محمد وآله الطاهرين. 
 ما حكم البراءة من المشركين في الحج؟ وهل تتعارض البراءة وإظهار العداء لهم مع مظاهر السلم والسلام والتسليم الكثيرة في الحج وأعماله وشعائره؟","بسم الله الرحمن الرحيم
الحمد لله رب العالمين، والصلاة والسلام على محمد وآله الطاهرين..
السلام عليكم ورحمة الله وبركاته.. وبعد..
بالنسبة للسؤال عن تعارض البراءة من المشركين في الحج، مع مظاهر السلم والتسليم فيه، أقول:
 أولاً : ليس في هذه المظاهر عدوان على أحد، فما معنى أن يقال: إنها تتعارض مع مظاهر السلم والتسليم..
 ثانياً : أليس قد أرسل الله تعالى الإمام علياً عليه السلام ليعلن في الحج: أن الله بريء من المشركين، ورسول الله أيضاً منهم بريء.. فهل تعارض هذا الإعلان مع السلم في الحج؟! . .
 ثالثاً : إذا هددك إنسان بأنك إذا صليت أو حججت، فسوف يضربك، ويعتدي عليك، فهل إذا صليت أو حججت، واعتدى عليك هو، تكون أنت المخالف لحالة السلم، والسلامة، أم يكون هو المخالف والعاصي؟!!
هذا.. والسلام عليكم ورحمة الله وبركاته  1 .. 
 لمزيد من المعلومات يمكنكم مراجعة الروابط التالية: 
   فقه الحج  
  الحج عبادة فريدة في الاسلام  
  أصناف الحُجاج  
  رسالة الى حجاج بيت الله الحرام  
  السجل الجامع لما يخص الحج والعمرة  
    1.  مختصر مفيد.. (أسئلة وأجوبة في الدين والعقيدة)، السيد جعفر مرتضى العاملي، «المجموعة العاشرة»، المركز الإسلامي للدراسات، الطبعة الأولى، 1424 هـ ـ 2004 م، السؤال (636)."
إذا أوصى الأب ولده الأكبر بالحج عنه ثم استطاع بالإرث فهل يجوز له الحج عن أبيه ؟,إذا كان واثقاً من أدائه في عام لاحق جاز له الحج عن أبيه وإلا فالوصية باطلة ، هذا إذا كانت الوصية بالحج في نفس عام الاستطاعة ، وإلا أتى بالحج عن نفسه ، ويؤخر الحج عن أبيه إلى عام لاحق .
إذا اراد حاج ان يشتري هدياً ويذبحه عن نفسه فكلفه حاج آخر بأن ينوب عنه في الشراء والذبح ايضاً، فاشترى هدياً وذبحه ثم التفت إلى انه لم يقصد حين الشراء كونه لنفسه ولا لصاحبه فهل يبطل عمله؟,كلا بل يقع عن نفسه فان كون الشراء لغيره يحتاج إلى مؤونة زائدة، فإذا لم يقصد كونه لغيره يقع للنفس، وحيث إنه قام بذبحه قاصداً ـ ولو ارتكازاً ـ كونه عمّن هو له فقد اجزأ عن نفسه.
إذا وضعت على مجموعة الشياه المشتراة لحجّاج الحملة علامات معينة لها ثم ضاعت العلامات فهل يجوز تعيينها من جديد والا فماذا يصنع بها؟,لا يجوز ذلك بل تذبح عن اصحابها المعينين اولاً باستنابة الحجّاج جميعاً شخصاً أو ازيد في الذبح.
إذا بذل شخص لآخر مالاً للحجّ بزعم أنّ المبذول له لا يتمكّن من الحجّ لعدم استطاعته المالية، فإذا كان المبذول له يملك ما يفي بمصاريف الحجّ أو أنّه كان قد حجّ حجّة الإسلام فهل يجب عليه أن يخبر الباذل؟.,لا يجب عليه الإخبار، ولكن إذا كان ظاهر البذل الترخيص في التصرّف في المال المبذول مقيَّداً بما ذُكر لم يجز له التصرّف فيه.
مَن بذل له صاحب الحملة مستلزمات حجّه إزاء خدمته للحجّاج هل يعدّ حجّه بذلياً ليكون حجة الإسلام وإن كان مديناً بما يستوعب تكاليف الحج؟,لا يُعد حجّاً بذلياً.
توفي شخص وقد اوصى باداء الحجّ المستقر على ذمته وله ورثة متعدّدون وبعضهم يوافق على استئجار من يحجّ عنه من تركته وبعضهم لا يوافق على ذلك فهل على الذي يوافق ان يخرج كامل اجرة الحجّ من حصته فقط؟,لا يجب عليه ذلك بل يدفع بمقدار ما يخص حصته بالنسبة فان وفى بمصارف الحجّ ولو بتتميمه من قبل متبرع او بنحو آخر وجبت الاستنابة عنه وإلاّ لم يجب.
ما المقصود بالاستطاعة البذلية في الحج ؟,"الاستطاعة البذلية هي الاستطاعة الحاصلة لغير المستطيع مالياً ببذل غيره له المال الذي يفي بتكاليف الحج، و هناك نقاط مهمة نُشير لها: 
  تتحقق الاستطاعة المالية 1  ببذل المال الوافي بتكاليف الحج لغير المستطيع الذي لم يحج عن نفسه ، على أن يحج بها ، و يجب عليه القبول ما لم يكن في ذلك حرج ،  و تُحسب حجّته هذه حجة الإسلام. 
 قبول الهدية الوافية بتكاليف الحج غير واجبة، لكن لو قَبِلَها و توفّرت لديه سائر الشروط، وجب على القابل الحج لحصول الاستطاعة. 
  أما قبول الهدية الوافية بتكاليف الحج إذا كانت مشروطة بصرفها في الحج فهي واجبة، إذا لم يكن في قبولها حرج أو منّة، فيجب عليه الحج ويُحسب حجّه حجة الإسلام . 
  يستقِرّ الحج في ذمة من بُذلت له تكاليف الحج لكنّه لم يقبل البذل و لم يحج لا لعذرٍ، و تجب عليه المبادرة إلى الحج حتى لو لم يكن مستطيعاً. 
 لا يجب قبول البذل على من لو حجّ تضرّر بسببه، كالفقير الذي تتأثر معيشته بسبب الحج فيما بعد، أو الموظف الذي يُحرم من الوظيفة، و لا يتمكن من تحصيل وظيفة أخرى تناسبه، أو المديون الذي لا يوفَّق لأداء دينه بسبب الحج، أو من ستتلف بعض ممتلكاته بسبب غيابه لاحتياجها إلى مراقبته. 
 إنما يجب قبول البذل إذا كان المال المبذول وافياً بتكاليف الحج حسب ما يجب على المبذول له من أنواع الحج باعتبار وطنه، من تمتع أو قِران أو إفراد، و تحسب التكاليف طبعاً من موطن الحاج ذهاباً و إياباً. 
  لمزيد من المعلومات يمكنكم مراجعة الروابط التالية: 
   رحلة الحج... من العبادة إلى التجارة  
  هل يجب علينا تحصيل الاستطاعة المالية للحج ؟  
  ما معنى الاستطاعة للحج ؟  
  ما معنى الحج ، و على من يجب ؟  
  السجل الجامع لما يخص الحج والعمرة  
    1.  لا تتحقق الاستطاعة الماليّة إلاّ بمقدرة الإنسان على تحمّل جميع تكاليف السفر و المصاريف التي يحتاج إليها الحاج خلال فترة سفره إلى بيت الله الحرام و غيرها من المشاعر المقدسة، و وجود ما يحتاج إليه من الوسائل اللازمة، حسب ما يجب عليه من أقسام الحج، بالكيفية المتعارفة ذهاباً و إياباً، بما في ذلك المواصلات و السكن و الغذاء و الذبيحة ـ أو أثمانها ـ و الضرائب و غيرها."
رجل استقر الحج في ذمته ولكنه لا يستطيع السفر الان حتى بوسائل النقل المريحة فهل يجوز ان يناب عنه علماً بأنه رجل كبير وبصحة غير جيدة؟,يجب عليه أن يستنيب مَن يحج عنه.
لو تضارب الإمتحان مع موعد الحج بالنسبة للطالب، فهل يحق له تأخير الحج تلك السنة لأداء الإمتحان، خاصة إذا كان الإمتحان مهماً بالنسبة له؟,إذا كان واثقاً من نفسه بأداء الحج في عام لاحق جاز له التأخير، وإلاّ لم يجز، نعم إذا كان تأخير الإمتحان حرجياً عليه بحدّ لا يتحمل عادة، لم يجب عليه أداء الحج في هذه السنة.
عدم قص الشعر او تقليم الأظافر لمن أراد ان يحج وذلك من بداية شهر ذي الحجة وحتى يوم عيد الاضحى مع الاضحية بالذبيحة هل هي مستحبة او واجبة؟,الاحوط  استحباباً ترك حلق الشعر بعد مضي ثلاثين يوماً من يوم عيد الأضحى.
هل أدي نبي الله إبراهيم ومن بعده من أنبياء الله الحج بالصورة التي عليها مناسك الحج عندما جاء الإسلام ، أم أن هناك إضافات في الجوهر أو التفصيل؟,"ان الروايات و الآيات التي تبحث في موضوع الحج تشير الي ان عملية الحج وان الكعبة المشرفة كانت قبل ابراهيم(ع). 
قال تعالي ( وَ إِذْ يَرْفَعُ إِبْراهيمُ الْقَواعِدَ مِنَ الْبَيْتِ وَ إِسْماعيلُ رَبَّنا تَقَبَّلْ مِنَّا إِنَّكَ أَنْتَ السَّميعُ الْعَليم‏*   رَبَّنا وَ اجْعَلْنا مُسْلِمَيْنِ لَكَ وَ مِنْ ذُرِّيَّتِنا أُمَّةً مُسْلِمَةً لَكَ وَ أَرِنا مَناسِكَنا وَ تُبْ عَلَيْنا إِنَّكَ أَنْتَ التَّوَّابُ الرَّحيمُ  ‏).[1]   
كما انه قد وردت رواية[2]  تشير الي قدم عملية الحج . 
من هذه الروايات و الآيات يمكن الاستفادة ان الحج كان قبل ابراهيم(ع). 
و لكن هل ان الحج السابق يطابق حجّنا الفعلي بكل تفاصيله و جزئياته و انه لا يختلف معه قيد شعرة، فهذا أمر من الصعب اثباته. فعلي سبيل المثال لا يمكن اثبات ان جميع تروك الاحرام التي تجب علينا الآن هي نفسها كانت في السابق. 
نعم يمكن ان نقول: ان اصل الاحرام والطواف وصلاة الطواف وقد يكون السعي بين الصفا و المروة كذلك و الوقوف بعرفات و المشعر و مني و الذبح من الامور المشتركة بين جميع الاديان. 
فعلي سبيل المثال ننقل بعض الروايات في هذا المجال: 
عن جابر عن أبي جعفر عليه السلام قال:«  أحرم موسي من رملة مصر، قال: و مرّ بصفائح الروحاء محرما يقود ناقة بخطام من ليف عليه عباءتان قطوانيتان ..».[3] 
وحول الطواف جاءت في نفس الكتاب الباب الاول من ابواب الطواف احاديث كثيرة منها الحديث 3 و 6 و 11 و 12 و... 
و بخصوص السعي جاء الحديث التالي: عن علي بن جعفر عن أخيه الامام موسي بن جعفر عليه السلام، قال: سألته عن السعي بين الصفا و المروة؟ فقال: ""  جعل لسعي ابراهيم عليه السلام""   [4]  ."
مَن استقر عليه الحج وعليه حقوق شرعية ولا يسعه التعجيل في أدائهما معاً فهل يؤدي الحج أولاً أو يدفع الحقوق الشرعية؟,يراجع الحاكم الشرعي فيستأذن منه في التأخير في أداء الحق الشرعي فإذا أذن له في ذلك بعد أن يعرف منه العزم على أدائه في أول فرصة ممكنة يقدم أداء الحج.
إذا كان المكلف لم يذهب للحج سابقا، فهل يجوز له أن يحجّ نيابة عن غيره؟,لا يشترط جواز النيابة بكون النائب لم يكن صرورة، فيجوز لمن لم يحج في عمره أن يستناب، نعم في تجهيز من لم يستطع أن يحج الأحوط وجوبا أن يستنيب من لم يحج.
إذا أوصى بالحجّ البلدي ولكن الوصيّ أو الوارث استأجر من الميقات فهل تبطل الاجارة ؟,نعم تبطل إن كانت الإجارة من مال الميّت، ولكن ذمّة الميّت تفرغ من الحجّ بعمل الأجير.
هل يجب اخذ وكالة عن فقير للتصرف في ثلث الهدي؟,لا يجب ويضمن حق الفقير .
ما حكم الزوجة التي تذهب الى مكة لأداء الحج من دون موافقة زوجها؟,لا يشترط إذن الزوج للزوجة في الحجّ إذا كانت مستطيعة، كما لا يجوز للزوج منع زوجته عن غير حجّة الاسلام من الحجّ الواجب عليها. نعم، يجوز له منعها من الخروج في أول الوقت مع سعة الوقت، والمطلقة الرجعية كالزوجة ما دامت في العدة.
إذا اقترحت مؤسسة حكومية الحجّ على أحد فهل يعتبر من الحجّ البذلي ويجب القبول؟,إذا كانت المؤسسة الحكومية في بلد إسلامي وأذن الحاكم الشرعي بالتصرّف فيما بذلته المؤسسة من النقد وغيره فهو من الحجّ البذلي ويجب القبول، ولسماحة السيد (دام ظله) إذن عام للمؤمنين في أمثال المورد.
ما هو طواف الوداع ؟.,يستحب لمن أراد الخروج من مكة أن يطوف طواف الوداع ،وأن يستلم الحجر الأسود والركن اليماني في كل شوط ،وأن يأتي بما تقدم في ص ‏ ‏(‏٢٤٥)‏ من المستحبات في المناسك عند الوصول إلى المستجار، وأن يدعو الله بما شاء ، ثم يستلم الحجر الأسود ويلصق بطنه بالبيت ،‏ ويضع إحدى يديه على الحجر والأخرى نحو الباب ، ثم يحمد الله ويثني عليه ، ويصلي على النبي وآله ، ثم يقول : ‏« اللهم صل على محمد عبدك ورسولك ونبيك وأمينك وحبيبك ونجيك وخيرتك من خلقك اللهم كما بلغ رسالاتك وجاهد في سبيلك وصدع بأمرك وأوذي في جنبك وعبدك حتى أتاه اليقين اللهم أقلبني مفلحاً منجحاً مستجاباً لي بأفضل ما يرجع به أحدٌ من وفدك من المغفرة والبركة والرحمة والرضوان والعافية »‏ . ويستحب له الخروج من باب الحناطين ـ ويقع قبال الركن الشامي ـ ويطلب من الله التوفيق لرجوعه مرة أخرى . ويستحب أن يشتري عندالخروج مقدار درهم من التمر ويتصدق به على الفقراء .
إذا أحرم الحاج أو المعتمر من(جدة)أو مكان آخر بعد الميقات جهلا فما حكم حجته؟,مع عدم معذوريته فسدت عمرته وحجه.
ما هي الاشهر المعلومات ؟,"قال الله عز و جل :  ﴿   الْحَجُّ أَشْهُرٌ مَّعْلُومَاتٌ فَمَن فَرَضَ فِيهِنَّ الْحَجَّ فَلاَ رَفَثَ وَلاَ فُسُوقَ وَلاَ جِدَالَ فِي الْحَجِّ وَمَا تَفْعَلُواْ مِنْ خَيْرٍ يَعْلَمْهُ اللّهُ وَتَزَوَّدُواْ فَإِنَّ خَيْرَ الزَّادِ التَّقْوَى وَاتَّقُونِ يَا أُوْلِي الأَلْبَابِ   ﴾   1  .
و الأشهر المعلومات هي أشهر الحج ، و هي : شَوَّالٌ وَ ذُو الْقَعْدَةِ وَ ذُو الْحِجَّةِ ، فقد رَوَى مُعَاوِيَةُ بْنِ عَمَّارٍ عَنْ أَبِي عَبْدِ اللَّهِ ( عليه السَّلام )  2  أنه قَالَ : "" الْحَجُّ أَشْهُرٌ مَعْلُومَاتٌ شَوَّالٌ وَ ذُو الْقَعْدَةِ وَ ذُو الْحِجَّةِ ، فَمَنْ أَرَادَ الْحَجَّ وَفَّرَ شَعْرَهُ إِذَا نَظَرَ إِلَى هِلَالِ ذِي الْقَعْدَةِ ، وَ مَنْ أَرَادَ الْعُمْرَةَ وَفَّرَ شَعْرَهُ شَهْراً ""  3  . 
  
   
   
   
   
  لمزيد من المعلومات يمكنكم مراجعة الروابط التالية:  
   ما هي أشهر الحج ؟  
   ما هي المواقيت ؟   
   السجل الجامع لما يخص الحج والعمرة   
    1.   القران الكريم  : سورة  البقرة  ( 2 ) ، الآية : 197 ، الصفحة :  31  . 
  2.  أي الإمام جعفر بن محمد الصَّادق ( عليه السَّلام ) ، سادس أئمة أهل البيت ( عليهم السلام ) . 
  3.  الكافي : 4 / 317 ، للشيخ أبي جعفر محمد بن يعقوب بن إسحاق الكُليني ، المُلَقَّب بثقة الإسلام ، المتوفى سنة : 329 هجرية ، طبعة دار الكتب الإسلامية ، سنة : 1365 هجرية / شمسية ، طهران / إيران ."
المستأجر لاداء الحجّ عن الميّت هل يجب عليه أن يزور النبي (ص) والائمة (ع) نيابة عنه وكذا بالنسبة إلى زيارة بقية المشاهد في المدينة المنورة ومكة المكرمة؟,يلزمه زيارة النبي (ص) والأئمة (ع) من حيث إندراجها في العمل المستأجر عليه عند الاطلاق، واذا كانت هناك زيارات اُخَر يتعارف قيام الحجّاج بها بحيث يشملها عقد الايجار مع الاطلاق لزمه الإتيان بها أيضاً، وإلاّ لم يجب.
إذا استأجر مَن لا تصحّ منه النيابة ـ على الاحوط ـ جهلاً منهما فهل يستحق الاُجرة؟,إذا علم المستأجر عدم تمكّن الاجير من العمل الاختياري ومع ذلك استأجره ـ وان كان جاهلاً بعدم الاجتزاء بعمله ـ فالإجارة صحيحة، ويستحق تمام الأجرة المسماة، وأما إذا كان يجهل ذلك فان كان المستأجر عليه هو العمل الكامل لم يستحق الأجير شيئاً وان كان هو العمل الموجب لفراغ ذمّة الميّت فلا بد من التراضي بصلح ونحوه.
"السلام علیکم :ما رأي سماحة السيد محمد سعيد الحكيم حفطه الله
بأداء الحج أو العمرة في هذه الأوضاع.؟
علما بأنه يمنع الطواف بين الركن والمقام.","عليكم السلام
لايعد مستطيعا للحج في هذه الصورة ."
هل يجب على المرأة أن تصطحب المحرم معها في سفر الحج؟,لا يشترط في وجوب الحج على المرأة و لا في صحة حجها مصاحبة المحرم لها إذا تيسر لها الحفاظ على نفسها و عفافها و كرامتها و ما يُهتم به من شؤونها.
يحتاط المرحوم السيد الخوئي (قده) في النائب عن الموسر العاجز عن مباشرة الحجّ ان يكون صرورة فلو استأجر العاجز شخصاً ثم تبين بعد اداء الحجّ انه لم يكن صرورة فما هو تكليفه؟,المختار كفاية استنابة غير الصرورة، ولو اراد الاحتياط فعليه ان يستنيب الصرورة.
اثناء الحج في طواف النساء نظرت الى جهة اليمين ولكن انا شاكه اذا ادى ذالك الالتفات الى لي العنق ام اصبحت الكعبه على يساري ام لا لاتذكر مالحكم ؟ولكني اتوقع ان الكعبه كانت على يساري,"سلام عليكم..

لا شيء عليكم."
"بعد شراء ملابس الإحرام 
هل يجب تطهير وغسل الملابس ( بالماء فقط ) قبل ارتداء الإحرام لأداء العمرة ؟","السلام عليكم ورحمة الله و بركاته
لا تعتن وإبن على الطهارة"
"السلام علیکم 

هل يجوز السفر لمكه في هاذهي الايام

اتمنا الرد السريع","وعليكم السلام ورحمة الله وبركاته 

نعم يجوز ان كانت القوانين تسمح بذلك"
شخص أوصى بالحج من ثلثه وعين شخصاً معيناً لأدائه ولكن الورثة استنابوا غيره للحج عنه فما هو حكم حجه وعلى من تكون أجرته؟,حجه صحيح ولكن الأجرة يضمنها الورثة فإن كان الموصى به حجة الإسلام صرف الثلث فيما هو الأقرب إلى نظر الموصي وإن كان حجاً مندوباً لزم تنفيذ الوصية .
إذا كان عاجزاً عن مباشرة الحج وقد أوصى بالحج عنه بعد وفاته ثم بعد الوصية استناب من يحج عنه في حياته فهل يلزم العمل بوصيته السابقة على الاستنابة أم تعتبر ملغاة؟,إذا عُرف أن ما أوصى به من الحج هو نفس ما استناب له في حياته بحيث يعد استنابته عدولاً عن وصيته اعتبرت الوصية ملغاة وفي غير هذه الصورة يلزم العمل بالوصية.
هل المرأةالمخالفة المتزوجة من شيعي عليها طواف النساء؟,يجب طواف النساء على مذهبنا.
هل يجب علي طواف النساء لي وانا بنية الحج نيابة عن اخي المتوفي ؟,لا يجب ان تطوف عن نفسك ولا يجب النطق بالنية وانما يكون الداعي لك في كل الاعمال النيابة عنه.
من اقترب من زوجته ، مع العلم بحرمة الاقتراب لأنه لم يأت بطواف النساء مثلاً ، أو أجرى العقد في حالة الإحرام وهو يعلم بالحرمة ، واقترب من الزوجة فالولد في تلك الحالة هل يعتبر أبن زنا ؟,وطء الزوجة مع عدم الإتيان بطواف النساء وان كان محرماً ولكنه ليس بزنا ، وأما العقد في حال الإحرام فهو باطل فكون الرجل زانياً لو قارب المرأة عالماً ببطلان العقد .
هل يجب على من يحج عن الغير أن يأتي بطواف النساء وصلاته عن نفسه غير الذي يأتي به عن المنوب عنه ؟,لا يجب بل تحل له النساء بما يأتي به عن المنوب عنه .
إذا أحج الرجل ولده الصغير غير المميز ولم يطف به طواف النساء فهل يجب عليه بعد ما يبلغ أن يطوف بنفسه مع ما يترتب على تركه من الإحكام ؟,نعم يلزمه ذلك ولا تحل له النساء ولا سائر الإستمتاعات ومع تعذر المباشرة أو تعسرها تكفي الاستنابة .
إذا أتى الحاج بعمرة التمتع ثم لم يتمكن من الإتيان بالحج لعذر ورجع إلى بلده فهل يجوز له إتيان النساء قبل أن يأتي بطواف النساء أم لا ؟,الأحوط الترك .
ذكرتم في المناسك أن من أتى بعمرة مفردة في أشهر الحج وبقى في مكة إلى يوم التروية وقصد الحج كانت عمرته متعة. . فهل يلزمه الإتيان بطواف النساء لو لم يكن قد أتى به من قبل؟,لا يبعد سقوطه حينئذٍ .
إذا ترك طواف النساء في العمرة المفردة وذهب إلى بعض المواقيت ليحرم لعمرة التمتع فيسأل: ١ ـ هل كان يجوز له ذلك أم لا ؟ ٢ ـ وإذا لم يجز له ذلك فهل يضر بصحة إحرامه لعمرة التمتع أم لا ؟ ٣ ـ وإذا لم يضر بصحة إحرامه فمتى يلزمه الإتيان بطواف النساء هل يسعه تأخيره إلى ما بعد الإتيان بأعمال عمرة التمتع ؟,١ ـ لا يخلو عن إشكال وان كان الأقرب الجواز . ٢ ـ عدم الجواز على القول به وضعي أي لا يصح الإحرام اللاحق ما لم يأت بطواف النساء . ٣ ـ يجوز له التأخير
حاج رجع من مكة المكرمة وتزوج ورزقه الله بعددٍِ من الأولاد ثم تبين له أنه لم يطف طواف النساء فما حكم زواجه وما حكم أولاده ؟,زواجه صحيح بناءً على ما هو المختار من أن ما يحرم على الحاج بعد الحلق إنما هو الاستمتاع من النساء دون العقد عليهن وإما الأولاد فهم ملحقون به على كل حال .
إذا كانت الزوجة مؤمنة والزوج من المخالفين فاذا ترك طواف النساء من الحج فهل يجب على الزوجة الامتناع عن مقاربته لها حتى يطوف ؟,لا يجب عليها ذلك .
إذا أتى بطواف النساء من دون أن يقصد هذا العنوان بل أنه طاف كما يطوف بقية الحجاج أو كما أمره معلم الحاج فهل يجزيه ذلك عن طواف النساء ؟,لا يعتبر قصد هذا العنوان بل يجزي أن ينوي الطواف الذي محله بعد طواف الزيارة .
